Serial Number:20053111 --

Date Time - GMT +03:00,"Temp, (*F)","RH, (%)","DewPt, (*F)",Host Connect,Started,EOF,
2017-09-11 00:00:14,72.61,51.42,53.71, , , ,
2017-09-11 00:10:14,72.61,51.16,53.57, , , ,
2017-09-11 00:20:14,72.54,51.20,53.52, , , ,
2017-09-11 00:30:14,72.54,50.91,53.36, , , ,
2017-09-11 00:40:14,72.46,50.66,53.16, , , ,
2017-09-11 00:50:14,72.46,50.66,53.16, , , ,
2017-09-11 01:00:14,72.46,50.66,53.16, , , ,
2017-09-11 01:10:14,72.46,50.66,53.16, , , ,
2017-09-11 01:20:14,72.46,50.40,53.02, , , ,
2017-09-11 01:30:14,72.46,50.40,53.02, , , ,
2017-09-11 01:40:14,72.38,50.66,53.09, , , ,
2017-09-11 01:50:14,72.38,50.66,53.09, , , ,
2017-09-11 02:00:14,72.30,50.62,53.00, , , ,
2017-09-11 02:10:14,72.38,50.69,53.10, , , ,
2017-09-11 02:20:14,72.30,50.88,53.13, , , ,
2017-09-11 02:30:14,72.23,50.91,53.08, , , ,
2017-09-11 02:40:14,72.23,50.91,53.08, , , ,
2017-09-11 02:50:14,72.23,50.91,53.08, , , ,
2017-09-11 03:00:14,72.23,50.88,53.06, , , ,
2017-09-11 03:10:14,72.23,50.91,53.08, , , ,
2017-09-11 03:20:14,72.15,50.88,52.99, , , ,
2017-09-11 03:30:14,72.07,51.13,53.06, , , ,
2017-09-11 03:40:14,72.07,51.13,53.06, , , ,
2017-09-11 03:50:14,72.15,51.13,53.13, , , ,
2017-09-11 04:00:14,72.07,51.13,53.06, , , ,
2017-09-11 04:10:14,72.07,51.16,53.07, , , ,
2017-09-11 04:20:14,72.00,51.39,53.12, , , ,
2017-09-11 04:30:14,72.07,51.39,53.19, , , ,
2017-09-11 04:40:14,71.92,51.35,53.03, , , ,
2017-09-11 04:50:14,72.00,51.39,53.12, , , ,
2017-09-11 05:00:14,72.00,51.39,53.12, , , ,
2017-09-11 05:10:14,72.00,51.39,53.12, , , ,
2017-09-11 05:20:14,71.92,51.35,53.03, , , ,
2017-09-11 05:30:14,71.92,51.39,53.05, , , ,
2017-09-11 05:40:14,71.92,51.35,53.03, , , ,
2017-09-11 05:50:14,71.84,51.39,52.98, , , ,
2017-09-11 06:00:14,71.84,51.35,52.96, , , ,
2017-09-11 06:10:14,71.84,51.35,52.96, , , ,
2017-09-11 06:20:14,71.84,51.61,53.10, , , ,
2017-09-11 06:30:14,71.84,51.64,53.11, , , ,
2017-09-11 06:40:14,71.69,51.61,52.95, , , ,
2017-09-11 06:50:14,71.76,51.64,53.04, , , ,
2017-09-11 07:00:14,71.76,51.61,53.02, , , ,
2017-09-11 07:10:14,71.69,51.61,52.95, , , ,
2017-09-11 07:20:14,71.76,51.86,53.16, , , ,
2017-09-11 07:30:14,71.76,52.37,53.42, , , ,
2017-09-11 07:40:14,71.76,52.37,53.42, , , ,
2017-09-11 07:50:14,71.84,52.37,53.49, , , ,
2017-09-11 08:00:14,71.92,52.62,53.70, , , ,
2017-09-11 08:10:14,71.76,52.87,53.69, , , ,
2017-09-11 08:20:14,71.84,52.90,53.77, , , ,
2017-09-11 08:30:14,71.92,53.13,53.96, , , ,
2017-09-11 08:40:14,71.92,53.13,53.96, , , ,
2017-09-11 08:50:14,72.00,53.13,54.03, , , ,
2017-09-11 09:00:14,71.92,53.16,53.98, , , ,
2017-09-11 09:10:14,71.92,53.16,53.98, , , ,
2017-09-11 09:20:14,72.00,53.13,54.03, , , ,
2017-09-11 09:30:14,72.00,53.13,54.03, , , ,
2017-09-11 09:40:14,71.92,53.13,53.96, , , ,
2017-09-11 09:50:14,72.00,53.13,54.03, , , ,
2017-09-11 10:00:14,72.00,53.13,54.03, , , ,
2017-09-11 10:10:14,72.00,52.87,53.90, , , ,
2017-09-11 10:20:14,72.07,52.87,53.97, , , ,
2017-09-11 10:30:14,72.07,52.90,53.99, , , ,
2017-09-11 10:40:14,72.07,52.90,53.99, , , ,
2017-09-11 10:50:14,72.07,52.87,53.97, , , ,
2017-09-11 11:00:14,72.07,52.65,53.86, , , ,
2017-09-11 11:10:14,72.15,53.13,54.17, , , ,
2017-09-11 11:20:14,72.15,53.16,54.19, , , ,
2017-09-11 11:30:14,72.38,52.94,54.29, , , ,
2017-09-11 11:40:14,72.30,52.94,54.22, , , ,
2017-09-11 11:50:14,72.46,52.65,54.21, , , ,
2017-09-11 12:00:14,72.38,52.40,54.01, , , ,
2017-09-11 12:10:14,72.46,52.40,54.08, , , ,
2017-09-11 12:20:14,72.61,51.92,53.98, , , ,
2017-09-11 12:30:14,72.54,51.20,53.52, , , ,
2017-09-11 12:40:14,72.61,51.45,53.72, , , ,
2017-09-11 12:50:14,72.69,51.67,53.91, , , ,
2017-09-11 13:00:14,72.69,51.70,53.93, , , ,
2017-09-11 13:10:14,72.84,51.73,54.09, , , ,
2017-09-11 13:20:14,72.84,51.92,54.19, , , ,
2017-09-11 13:30:14,72.92,51.73,54.16, , , ,
2017-09-11 13:40:14,73.00,51.45,54.08, , , ,
2017-09-11 13:50:14,73.00,51.45,54.08, , , ,
2017-09-11 14:00:14,74.70,57.82,58.89, , , ,
2017-09-11 14:10:14,73.62,50.75,54.27, , , ,
2017-09-11 14:20:14,72.92,52.21,54.41, , , ,
2017-09-11 14:30:14,72.92,52.24,54.43, , , ,
2017-09-11 14:40:14,76.55,47.69,55.25, , , ,
2017-09-11 14:50:14,75.70,52.65,57.21, , , ,
2017-09-11 15:00:14,72.92,53.98,55.33, , , ,
2017-09-11 15:10:14,73.31,53.76,55.57, , , ,
2017-09-11 15:20:14,74.00,53.31,55.99, , , ,
2017-09-11 15:30:14,74.16,53.06,56.00, , , ,
2017-09-11 15:40:14,74.08,53.31,56.06, , , ,
2017-09-11 15:50:14,73.85,53.54,55.96, , , ,
2017-09-11 16:00:14,73.93,50.50,54.42, , , ,
2017-09-11 16:10:14,74.31,53.60,56.42, , , ,
2017-09-11 16:20:14,74.47,53.85,56.69, , , ,
2017-09-11 16:30:14,74.39,54.10,56.75, , , ,
2017-09-11 16:40:14,74.39,54.07,56.73, , , ,
2017-09-11 16:50:14,74.31,54.10,56.68, , , ,
2017-09-11 17:00:14,74.31,54.07,56.66, , , ,
2017-09-11 17:10:14,74.31,54.07,56.66, , , ,
2017-09-11 17:20:14,74.23,54.07,56.59, , , ,
2017-09-11 17:30:14,74.08,54.07,56.45, , , ,
2017-09-11 17:40:14,74.16,54.07,56.52, , , ,
2017-09-11 17:50:14,74.00,54.04,56.36, , , ,
2017-09-11 18:00:14,73.93,54.04,56.29, , , ,
2017-09-11 18:10:14,73.77,54.01,56.13, , , ,
2017-09-11 18:20:14,73.77,54.01,56.13, , , ,
2017-09-11 18:30:14,73.77,54.01,56.13, , , ,
2017-09-11 18:40:14,73.69,54.01,56.06, , , ,
2017-09-11 18:50:14,73.62,54.04,56.00, , , ,
2017-09-11 19:00:14,73.54,54.04,55.93, , , ,
2017-09-11 19:10:14,73.39,53.98,55.76, , , ,
2017-09-11 19:20:14,73.31,53.98,55.68, , , ,
2017-09-11 19:30:14,73.31,53.98,55.68, , , ,
2017-09-11 19:40:14,73.23,53.98,55.61, , , ,
2017-09-11 19:50:14,73.23,54.01,55.63, , , ,
2017-09-11 20:00:14,73.08,53.98,55.47, , , ,
2017-09-11 20:10:14,73.00,53.94,55.38, , , ,
2017-09-11 20:20:14,73.00,53.94,55.38, , , ,
2017-09-11 20:30:14,72.84,53.94,55.24, , , ,
2017-09-11 20:40:14,72.84,53.94,55.24, , , ,
2017-09-11 20:50:14,72.69,54.20,55.22, , , ,
2017-09-11 21:00:14,72.61,54.16,55.14, , , ,
2017-09-11 21:10:14,72.54,54.20,55.08, , , ,
2017-09-11 21:20:14,72.46,54.16,54.99, , , ,
2017-09-11 21:30:14,72.46,54.20,55.01, , , ,
2017-09-11 21:40:14,72.30,54.16,54.85, , , ,
2017-09-11 21:50:14,72.30,54.20,54.86, , , ,
2017-09-11 22:00:14,72.15,54.16,54.71, , , ,
2017-09-11 22:10:14,72.23,54.13,54.76, , , ,
2017-09-11 22:20:14,72.07,54.16,54.63, , , ,
2017-09-11 22:30:14,72.07,54.38,54.74, , , ,
2017-09-11 22:40:14,72.00,54.42,54.69, , , ,
2017-09-11 22:50:14,71.92,54.38,54.60, , , ,
2017-09-11 23:00:14,71.84,54.38,54.53, , , ,
2017-09-11 23:10:14,71.84,54.35,54.51, , , ,
2017-09-11 23:20:14,71.76,54.38,54.46, , , ,
2017-09-11 23:30:14,71.76,54.35,54.44, , , ,
2017-09-11 23:40:14,71.61,54.35,54.30, , , ,
2017-09-11 23:50:14,71.61,54.38,54.31, , , ,
2017-09-12 00:00:14,71.61,54.60,54.43, , , ,
2017-09-12 00:10:14,71.38,54.60,54.21, , , ,
2017-09-12 00:20:14,71.45,54.57,54.27, , , ,
2017-09-12 00:30:14,71.45,54.57,54.27, , , ,
2017-09-12 00:40:14,71.38,54.60,54.21, , , ,
2017-09-12 00:50:14,71.30,54.60,54.14, , , ,
2017-09-12 01:00:14,71.22,54.57,54.05, , , ,
2017-09-12 01:10:14,71.22,54.60,54.07, , , ,
2017-09-12 01:20:14,71.15,54.57,53.98, , , ,
2017-09-12 01:30:14,71.07,54.54,53.89, , , ,
2017-09-12 01:40:14,71.07,54.57,53.91, , , ,
2017-09-12 01:50:14,71.07,54.79,54.02, , , ,
2017-09-12 02:00:14,70.91,54.79,53.87, , , ,
2017-09-12 02:10:14,70.91,54.82,53.89, , , ,
2017-09-12 02:20:14,70.91,54.82,53.89, , , ,
2017-09-12 02:30:14,70.91,54.79,53.87, , , ,
2017-09-12 02:40:14,70.84,54.82,53.82, , , ,
2017-09-12 02:50:14,70.76,54.79,53.73, , , ,
2017-09-12 03:00:14,70.68,54.76,53.64, , , ,
2017-09-12 03:10:14,70.76,54.79,53.73, , , ,
2017-09-12 03:20:14,70.68,54.79,53.66, , , ,
2017-09-12 03:30:14,70.61,54.76,53.57, , , ,
2017-09-12 03:40:14,70.61,54.79,53.59, , , ,
2017-09-12 03:50:14,70.53,54.79,53.51, , , ,
2017-09-12 04:00:14,70.53,55.01,53.62, , , ,
2017-09-12 04:10:14,70.53,55.01,53.62, , , ,
2017-09-12 04:20:14,70.45,55.04,53.57, , , ,
2017-09-12 04:30:14,70.45,55.04,53.57, , , ,
2017-09-12 04:40:14,70.37,54.98,53.46, , , ,
2017-09-12 04:50:14,70.37,55.01,53.48, , , ,
2017-09-12 05:00:14,70.30,54.98,53.39, , , ,
2017-09-12 05:10:14,70.30,54.98,53.39, , , ,
2017-09-12 05:20:14,70.30,55.01,53.41, , , ,
2017-09-12 05:30:14,70.14,54.98,53.25, , , ,
2017-09-12 05:40:14,70.14,55.01,53.27, , , ,
2017-09-12 05:50:14,70.14,55.23,53.37, , , ,
2017-09-12 06:00:14,70.14,55.23,53.37, , , ,
2017-09-12 06:10:14,70.14,55.26,53.39, , , ,
2017-09-12 06:20:14,69.99,55.23,53.23, , , ,
2017-09-12 06:30:14,69.99,55.23,53.23, , , ,
2017-09-12 06:40:14,69.91,55.20,53.14, , , ,
2017-09-12 06:50:14,69.91,55.23,53.16, , , ,
2017-09-12 07:00:14,69.91,55.20,53.14, , , ,
2017-09-12 07:10:14,69.83,55.20,53.07, , , ,
2017-09-12 07:20:14,69.83,55.23,53.09, , , ,
2017-09-12 07:30:14,69.76,55.23,53.01, , , ,
2017-09-12 07:40:14,69.83,55.45,53.19, , , ,
2017-09-12 07:50:14,69.68,55.42,53.04, , , ,
2017-09-12 08:00:14,69.68,55.45,53.05, , , ,
2017-09-12 08:10:14,69.76,55.45,53.12, , , ,
2017-09-12 08:20:14,69.68,55.42,53.04, , , ,
2017-09-12 08:30:14,69.68,55.42,53.04, , , ,
2017-09-12 08:40:14,70.22,58.47,55.01, , , ,
2017-09-12 08:50:14,67.67,65.88,55.89, , , ,
2017-09-12 09:00:14,70.68,61.43,56.81, , , ,
2017-09-12 09:10:14,70.53,61.65,56.76, , , ,
2017-09-12 09:20:14,70.61,61.92,56.96, , , ,
2017-09-12 09:23:26, , , ,Logged, , ,
2017-09-12 09:30:14,70.68,61.43,56.81, , , ,
2017-09-12 09:40:14,70.68,61.43,56.81, , , ,
2017-09-12 09:50:14,70.37,61.65,56.61, , , ,
2017-09-12 10:00:14,70.53,61.89,56.87, , , ,
2017-09-12 10:10:14,70.68,62.41,57.25, , , ,
2017-09-12 10:20:14,70.76,62.90,57.54, , , ,
2017-09-12 10:27:43, , , ,Logged, , ,
2017-09-12 10:30:14,73.15,53.76,55.43, , , ,
2017-09-12 10:36:34, , , ,Logged, , ,
2017-09-12 10:40:14,74.39,52.05,55.68, , , ,
2017-09-12 10:46:24, , , ,Logged, , ,
2017-09-12 10:50:14,70.22,58.47,55.01, , , ,
2017-09-12 11:00:14,75.32,58.16,59.63, , , ,
2017-09-12 11:05:10, , , ,Logged, , ,
2017-09-12 11:09:43, , , ,Logged, , ,
2017-09-12 11:09:45, , , ,Logged, , ,
2017-09-12 11:10:14,70.30,61.89,56.65, , , ,
2017-09-12 11:20:14,71.38,59.31,56.49, , , ,
2017-09-12 11:28:16, , , ,Logged, , ,
2017-09-12 11:30:14,70.99,58.78,55.88, , , ,
2017-09-12 11:40:14,71.22,57.29,55.39, , , ,
2017-09-12 11:50:14,72.23,56.92,56.14, , , ,
2017-09-12 12:00:14,73.08,54.48,55.72, , , ,
2017-09-12 12:10:14,73.39,53.28,55.40, , , ,
2017-09-12 12:20:14,73.93,52.30,55.39, , , ,
2017-09-12 12:30:14,74.85,51.32,55.72, , , ,
2017-09-12 12:40:14,74.47,51.29,55.35, , , ,
2017-09-12 12:50:14,76.47,49.89,56.43, , , ,
2017-09-12 13:00:14,78.40,46.50,56.24, , , ,
2017-09-12 13:10:14,79.56,45.56,56.73, , , ,
2017-09-12 13:20:14,80.03,44.04,56.21, , , ,
2017-09-12 13:30:14,79.56,43.94,55.73, , , ,
2017-09-12 13:40:14,78.40,45.40,55.59, , , ,
2017-09-12 13:50:14,79.25,44.95,56.08, , , ,
2017-09-12 14:00:14,79.33,44.75,56.03, , , ,
2017-09-12 14:10:14,78.48,45.95,55.99, , , ,
2017-09-12 14:20:14,79.72,44.27,56.08, , , ,
2017-09-12 14:30:14,80.34,43.52,56.16, , , ,
2017-09-12 14:40:14,78.48,46.01,56.03, , , ,
2017-09-12 14:50:14,78.10,45.21,55.19, , , ,
2017-09-12 15:00:14,76.40,47.14,54.79, , , ,
2017-09-12 15:10:14,75.62,48.61,54.94, , , ,
2017-09-12 15:20:14,75.39,49.13,55.01, , , ,
2017-09-12 15:30:14,75.47,49.06,55.05, , , ,
2017-09-12 15:40:14,75.01,50.05,55.17, , , ,
2017-09-12 15:45:16, , , ,Logged, , ,
2017-09-12 15:50:14,75.24,50.11,55.42, , , ,
2017-09-12 16:00:14,74.70,51.07,55.44, , , ,
2017-09-12 16:10:14,74.54,51.35,55.45, , , ,
2017-09-12 16:20:14,74.31,52.56,55.88, , , ,
2017-09-12 16:30:14,73.77,52.27,55.23, , , ,
2017-09-12 16:40:14,73.54,52.24,55.00, , , ,
2017-09-12 16:50:14,73.00,53.22,55.01, , , ,
2017-09-12 17:00:14,72.84,53.19,54.85, , , ,
2017-09-12 17:10:14,72.23,54.42,54.90, , , ,
2017-09-12 17:20:14,71.69,55.11,54.75, , , ,
2017-09-12 17:30:14,71.30,55.58,54.62, , , ,
2017-09-12 17:40:14,71.07,56.04,54.64, , , ,
2017-09-12 17:50:14,70.84,57.04,54.91, , , ,
2017-09-12 18:00:14,69.99,57.70,54.42, , , ,
2017-09-12 18:10:14,69.60,58.66,54.52, , , ,
2017-09-12 18:20:14,69.29,59.37,54.56, , , ,
2017-09-12 18:30:14,68.75,60.05,54.36, , , ,
2017-09-12 18:40:14,68.37,60.73,54.31, , , ,
2017-09-12 18:50:14,68.06,61.43,54.33, , , ,
2017-09-12 19:00:14,67.90,61.89,54.39, , , ,
2017-09-12 19:10:14,67.52,62.84,54.44, , , ,
2017-09-12 19:20:14,67.21,64.00,54.65, , , ,
2017-09-12 19:30:14,67.13,64.70,54.88, , , ,
2017-09-12 19:40:14,66.74,65.40,54.81, , , ,
2017-09-12 19:50:14,66.51,65.73,54.73, , , ,
2017-09-12 20:00:14,66.36,66.27,54.81, , , ,
2017-09-12 20:10:14,66.36,66.15,54.76, , , ,
2017-09-12 20:20:14,66.13,66.57,54.71, , , ,
2017-09-12 20:30:14,66.05,66.75,54.71, , , ,
2017-09-12 20:40:14,65.97,66.72,54.62, , , ,
2017-09-12 20:50:14,65.89,66.66,54.53, , , ,
2017-09-12 21:00:14,65.82,66.60,54.43, , , ,
2017-09-12 21:10:14,65.74,66.66,54.38, , , ,
2017-09-12 21:20:14,65.59,66.69,54.24, , , ,
2017-09-12 21:30:14,65.59,66.06,53.98, , , ,
2017-09-12 21:40:14,65.05,66.15,53.51, , , ,
2017-09-12 21:50:14,64.89,66.42,53.47, , , ,
2017-09-12 22:00:14,64.66,66.91,53.45, , , ,
2017-09-12 22:10:14,64.20,66.54,52.86, , , ,
2017-09-12 22:20:14,64.27,66.06,52.73, , , ,
2017-09-12 22:30:14,63.89,65.91,52.30, , , ,
2017-09-12 22:40:14,63.73,65.91,52.16, , , ,
2017-09-12 22:50:14,63.81,65.91,52.23, , , ,
2017-09-12 23:00:14,63.58,66.30,52.17, , , ,
2017-09-12 23:10:14,63.27,66.36,51.90, , , ,
2017-09-12 23:20:14,63.04,66.78,51.85, , , ,
2017-09-12 23:30:14,63.04,66.87,51.89, , , ,
2017-09-12 23:40:14,62.88,67.36,51.94, , , ,
2017-09-12 23:50:14,62.57,68.17,51.97, , , ,
2017-09-13 00:00:14,62.42,68.71,52.03, , , ,
2017-09-13 00:10:14,62.42,68.74,52.04, , , ,
2017-09-13 00:20:14,62.27,69.15,52.06, , , ,
2017-09-13 00:30:14,62.34,69.15,52.14, , , ,
2017-09-13 00:40:14,62.11,69.90,52.20, , , ,
2017-09-13 00:50:14,61.96,70.32,52.22, , , ,
2017-09-13 01:00:14,61.80,70.50,52.14, , , ,
2017-09-13 01:10:14,61.65,71.24,52.28, , , ,
2017-09-13 01:20:14,61.49,71.42,52.19, , , ,
2017-09-13 01:30:14,61.26,72.13,52.24, , , ,
2017-09-13 01:40:14,61.11,72.57,52.26, , , ,
2017-09-13 01:50:14,60.95,72.54,52.10, , , ,
2017-09-13 02:00:14,60.80,73.04,52.14, , , ,
2017-09-13 02:10:14,60.80,72.72,52.02, , , ,
2017-09-13 02:20:14,60.57,73.07,51.92, , , ,
2017-09-13 02:30:14,60.41,73.45,51.92, , , ,
2017-09-13 02:40:14,60.49,73.07,51.85, , , ,
2017-09-13 02:50:14,60.57,73.13,51.95, , , ,
2017-09-13 03:00:14,60.72,72.69,51.93, , , ,
2017-09-13 03:10:14,60.80,72.72,52.02, , , ,
2017-09-13 03:20:14,60.72,73.10,52.08, , , ,
2017-09-13 03:30:14,60.72,73.16,52.11, , , ,
2017-09-13 03:40:14,60.72,72.69,51.93, , , ,
2017-09-13 03:50:14,61.03,72.69,52.23, , , ,
2017-09-13 04:00:14,60.95,73.01,52.27, , , ,
2017-09-13 04:10:14,60.88,73.10,52.23, , , ,
2017-09-13 04:20:14,60.57,73.54,52.10, , , ,
2017-09-13 04:30:14,60.57,73.48,52.08, , , ,
2017-09-13 04:40:14,60.49,74.04,52.21, , , ,
2017-09-13 04:50:14,60.41,74.04,52.13, , , ,
2017-09-13 05:00:14,60.49,73.54,52.02, , , ,
2017-09-13 05:10:14,60.80,73.04,52.14, , , ,
2017-09-13 05:20:14,60.57,73.42,52.06, , , ,
2017-09-13 05:30:14,60.72,73.54,52.25, , , ,
2017-09-13 05:40:14,60.64,73.89,52.30, , , ,
2017-09-13 05:50:14,61.34,73.16,52.70, , , ,
2017-09-13 06:00:14,61.49,72.66,52.66, , , ,
2017-09-13 06:10:14,61.65,72.19,52.63, , , ,
2017-09-13 06:20:14,61.80,71.86,52.66, , , ,
2017-09-13 06:30:14,61.72,71.33,52.38, , , ,
2017-09-13 06:40:14,61.65,71.36,52.32, , , ,
2017-09-13 06:50:14,61.65,71.68,52.44, , , ,
2017-09-13 07:00:14,61.72,71.71,52.53, , , ,
2017-09-13 07:10:14,61.80,72.27,52.82, , , ,
2017-09-13 07:20:14,61.96,72.21,52.94, , , ,
2017-09-13 07:30:14,62.03,71.74,52.84, , , ,
2017-09-13 07:40:14,61.96,71.80,52.79, , , ,
2017-09-13 07:50:14,61.96,72.24,52.95, , , ,
2017-09-13 08:00:14,62.27,71.36,52.91, , , ,
2017-09-13 08:10:14,62.27,71.39,52.93, , , ,
2017-09-13 08:20:14,62.73,71.33,53.35, , , ,
2017-09-13 08:30:14,63.19,70.67,53.54, , , ,
2017-09-13 08:40:14,63.73,70.08,53.83, , , ,
2017-09-13 08:50:14,64.04,69.24,53.80, , , ,
2017-09-13 09:00:14,64.97,67.57,54.01, , , ,
2017-09-13 09:10:14,65.74,66.15,54.17, , , ,
2017-09-13 09:20:14,66.51,65.79,54.75, , , ,
2017-09-13 09:30:14,66.36,64.64,54.12, , , ,
